Cell,Background,year,Number
1,FFFFFF,2019,1
101,00B0C1,2019,101
105,7A599D,2019,105
106,37628C,2019,106
107,FFFFFF,2019,107
110,3CB7EA,2019,110
111,E6A400,2019,111
112,ED6E9C,2019,112
114,B75671,2019,114
120,00975F,2019,120
122,9373B1,2019,122
125,9373B1,2019,125
125X,9373B1,2019,125X
126,BCCF00,2019,126
128,009A93,2019,128
129,C45D14,2019,129
131,89CCCA,2019,131
132,EA5B0C,2019,132
132X,EA5B0C,2019,132X
133,457B6E,2019,133
133X,457B6E,2019,133X
134,836642,2019,134
138,F6A120,2019,138
141,D73E86,2019,141
142,D73E86,2019,142
143,946AAB,2019,143
146,0069B4,2019,146
14T,E4032E,2019,14T
14W,E4032E,2019,14W
151X,C48719,2019,151X
152,00A6DE,2019,152
154,8EC89A,2019,154
161,9F649A,2019,161
162,D7AF00,2019,162
170,919F3C,2019,170
171,00664D,2019,171
171X,006A52,2019,171X
172,A22D63,2019,172
172X,9F2B68,2019,172X
18,0069B4,2019,18
186,924F63,2019,186
191,E77D95,2019,191
195,718A7E,2019,195
1A,FFFFFF,2019,1A
2,FFFFFF,2019,2
20,D7007F,2019,20
209,15AF97,2019,209
221X,AE7DA8,2019,221X
223X,AE7DA8,2019,223X
22A,AE7DA8,2019,22A
22N,AE7DA8,2019,22N
22R,AE7DA8,2019,22R
243X,0093C5,2019,243X
248X,0093C5,2019,248X
24B,0093C5,2019,24B
24R,0093C5,2019,24R
24W,0093C5,2019,24W
252,B45322,2019,252
253,B45322,2019,253
25B,B5511B,2019,25B
25L,B5511B,2019,25L
27H,3FA5BD,2019,27H
27T,3FA5BD,2019,27T
27W,3FA5BD,2019,27W
295,8C895F,2019,295
298,4C7BBE,2019,298
2X,FFFFFF,2019,2X
3,FFFFFF,2019,3
30,7482B0,2019,30
309,573A66,2019,309
309X,573A66,2019,309X
31,B55611,2019,31
313,95C11F,2019,313
314,78CAE1,2019,314
32,203C7A,2019,32
321,951B81,2019,321
323,3ABDDE,2019,323
324,00887B,2019,324
325,946AAB,2019,325
326,8BADDC,2019,326
33,0069B4,2019,33
333X,EE2E27,2019,333X
349,FFFFFF,2019,349
35,1E894F,2019,35
351,B7A86C,2019,351
352,00975F,2019,352
353,AA026D,2019,353
355,D6606F,2019,355
361,EA5623,2019,361
362,5C3E24,2019,362
363,539326,2019,363
365,D73E86,2019,365
366,89CCCA,2019,366
368,FFFFFF,2019,368
369,FFFFFF,2019,369
371,A88355,2019,371
372,8EC89A,2019,372
373,E74011,2019,373
376,B75671,2019,376
377,457B6E,2019,377
378,F39200,2019,378
380,F39200,2019,380
391,F39200,2019,391
392,95C11F,2019,392
393,00B1EB,2019,393
394,A16D0B,2019,394
395,946AAB,2019,395
396,DC5054,2019,396
398,8E1150,2019,398
399,007E6B,2019,399
4,FFFFFF,2019,4
501,FDC100,2019,501
502,E30613,2019,502
503,009FE3,2019,503
504,F9AE00,2019,504
50A,164194,2019,50A
50B,27A737,2019,50B
64,EF7F97,2019,64
650,8B588D,2019,650
66,1B8941,2019,66
670,383882,2019,670
68,925C8D,2019,68
70,CF1619,2019,70
70H,FDB913,2019,70H
711,51AEE2,2019,711
712,6F4092,2019,712
714,FFFFFF,2019,714
728,FFFFFF,2019,728
729,FFFFFF,2019,729
72C,005F9C,2019,72C
72M,005F9C,2019,72M
72X,005F9C,2019,72X
733,3D9B7D,2019,733
734,ED6C77,2019,734
735,FBBA00,2019,735
739,7B9CCC,2019,739
743,F59D24,2019,743
744,6EB486,2019,744
747,EF7E86,2019,747
75,770F00,2019,75
751,008788,2019,751
755,71C8DC,2019,755
762,9F4C97,2019,762
774,C2A712,2019,774
775,C2A712,2019,775
781,F7A600,2019,781
782,95C11F,2019,782
783,E84250,2019,783
801,007B77,2019,801
802,B27A22,2019,802
806,94604C,2019,806
807,EE7656,2019,807
814,B0BA30,2019,814
82,9D3A7F,2019,82
83,CE1531,2019,83
842,286FA3,2019,842
843,F59C00,2019,843
845,00A0DD,2019,845
856,EE7566,2019,856
861,966B45,2019,861
865,64105B,2019,865
866,FDC61E,2019,866
871,00A79B,2019,871
878,0095D4,2019,878
883,D676AD,2019,883
884,8E66AB,2019,884
885,9662A5,2019,885
889,13A538,2019,889
890,00A2B5,2019,890
901,8BADDC,2019,901
906,BBD043,2019,906
907,5C3E24,2019,907
917,406C95,2019,917
923,0D9EA2,2019,923
924,5E3668,2019,924
926,677769,2019,926
928,C89C2F,2019,928
931,78363C,2019,931
933,D0559A,2019,933
939,29694A,2019,939
941,977EAF,2019,941
942,C18EA9,2019,942
95B,EE7323,2019,95B
95C,EE7323,2019,95C
95G,EE7323,2019,95G
966,67A65C,2019,966
97B,00B3EC,2019,97B
97R,00B3EC,2019,97R
97V,00B3EC,2019,97V
981,E63027,2019,981
982,91273E,2019,982
983,2581C4,2019,983
984,95C11F,2019,984
985,F2B420,2019,985
986,EA5B0C,2019,986
987,E171A9,2019,987
988,F18700,2019,988
995,F18700,2019,995
996,D51130,2019,996
997,329248,2019,997
998,7263A9,2019,998
CTY,E30613,2019,CTY
INN,56AF31,2019,INN
N10,EE2E27,2019,N10
N11,FFFFFF,2019,N11
NX1,1F3685,2019,NX1
NX2,007C34,2019,NX2
OUT,F39200,2019,OUT
TMK,0086C7,2019,TMK
101,00B0C1,2023,101
105,7A599D,2023,105
106,37628C,2023,106
110,3CB7EA,2023,110
111,E6A400,2023,111
112,ED6E9C,2023,112
114,B75671,2023,114
120,00975F,2023,120
122,9373B1,2023,122
125,9373B1,2023,125
125X,9373B1,2023,125X
126,BCCF00,2023,126
128,009A93,2023,128
129,C45D14,2023,129
131,89CCCA,2023,131
132,EA5B0C,2023,132
132X,EA5B0C,2023,132X
133,457B6E,2023,133
133X,457B6E,2023,133X
134,836642,2023,134
138,F6A120,2023,138
141,D73E86,2023,141
142,D73E86,2023,142
143,946AAB,2023,143
146,0069B4,2023,146
14T,E4032E,2023,14T
14W,E4032E,2023,14W
151,C48719,2023,151
151X,FFFFFF,2023,151X
152,00A6DE,2023,152
154,8EC89A,2023,154
161,9F649A,2023,161
162,D7AF00,2023,162
170,919F3C,2023,170
171,00664D,2023,171
171X,FFFFFF,2023,171X
172,A22D63,2023,172
172X,FFFFFF,2023,172X
18,0069B4,2023,18
186,924F63,2023,186
191,E77D95,2023,191
195,718A7E,2023,195
20,D7007F,2023,20
209,15AF97,2023,209
221X,FFFFFF,2023,221X
223X,FFFFFF,2023,223X
22A,AE7DA8,2023,22A
22N,AE7DA8,2023,22N
22R,AE7DA8,2023,22R
243X,FFFFFF,2023,243X
248X,FFFFFF,2023,248X
24B,0093C5,2023,24B
24R,0093C5,2023,24R
24W,0093C5,2023,24W
252,B45322,2023,252
253,B45322,2023,253
25B,B5511B,2023,25B
25L,B5511B,2023,25L
27H,3FA5BD,2023,27H
27T,3FA5BD,2023,27T
27W,3FA5BD,2023,27W
295,8C895F,2023,295
298,4C7BBE,2023,298
30,7482B0,2023,30
309,573A66,2023,309
309X,573A66,2023,309X
31,B55611,2023,31
313,95C11F,2023,313
314,78CAE1,2023,314
32,203C7A,2023,32
321,951B81,2023,321
323,3ABDDE,2023,323
324,00887B,2023,324
325,946AAB,2023,325
326,8BADDC,2023,326
33,0069B4,2023,33
333X,EE2E27,2023,333X
349,FFFFFF,2023,349
35,1E894F,2023,35
351,B7A86C,2023,351
352,00975F,2023,352
353,AA026D,2023,353
355,D6606F,2023,355
36,A42523,2023,36
361,EA5623,2023,361
362,5C3E24,2023,362
363,539326,2023,363
365,D73E86,2023,365
366,89CCCA,2023,366
371,FFFFFF,2023,371
372,8EC89A,2023,372
373,E74011,2023,373
376,B75671,2023,376
377,457B6E,2023,377
378,F39200,2023,378
38,009AC2,2023,38
380,FFFFFF,2023,380
391,F39200,2023,391
392,95C11F,2023,392
393,00B1EB,2023,393
394,A16D0B,2023,394
395,946AAB,2023,395
396,DC5054,2023,396
398,FFFFFF,2023,398
399,007E6B,2023,399
501,FDC100,2023,501
502,E30613,2023,502
503,FFFFFF,2023,503
504,FFFFFF,2023,504
50A,164194,2023,50A
50B,27A737,2023,50B
64,EF7F97,2023,64
650,8B588D,2023,650
66,1B8941,2023,66
670,383882,2023,670
68,925C8D,2023,68
70,CF1619,2023,70
70H,FDB913,2023,70H
711,51AEE2,2023,711
712,6F4092,2023,712
714,FFFFFF,2023,714
728,FFFFFF,2023,728
729,FFFFFF,2023,729
72C,005F9C,2023,72C
72M,005F9C,2023,72M
72X,005F9C,2023,72X
733,3D9B7D,2023,733
734,ED6C77,2023,734
735,FBBA00,2023,735
739,7B9CCC,2023,739
743,F59D24,2023,743
744,6EB486,2023,744
747,EF7E86,2023,747
75,770F00,2023,75
751,008788,2023,751
755,71C8DC,2023,755
762,9F4C97,2023,762
774,C2A712,2023,774
775,C2A712,2023,775
781,F7A600,2023,781
782,95C11F,2023,782
783,E84250,2023,783
801,007B77,2023,801
802,B27A22,2023,802
805,5C7DBF,2023,805
806,94604C,2023,806
807,EE7656,2023,807
814,B0BA30,2023,814
82,9D3A7F,2023,82
83,CE1531,2023,83
842,286FA3,2023,842
843,F59C00,2023,843
845,00A0DD,2023,845
856,EE7566,2023,856
861,966B45,2023,861
865,64105B,2023,865
866,FDC61E,2023,866
871,00A79B,2023,871
878,0095D4,2023,878
883,D676AD,2023,883
884,8E66AB,2023,884
885,9662A5,2023,885
889,13A538,2023,889
890,FFFFFF,2023,890
901,8BADDC,2023,901
906,BBD043,2023,906
907,5C3E24,2023,907
917,406C95,2023,917
923,0D9EA2,2023,923
924,5E3668,2023,924
926,677769,2023,926
928,C89C2F,2023,928
931,78363C,2023,931
933,D0559A,2023,933
939,29694A,2023,939
941,977EAF,2023,941
942,C18EA9,2023,942
95B,EE7323,2023,95B
95C,EE7323,2023,95C
95G,FFFFFF,2023,95G
966,67A65C,2023,966
97B,00B3EC,2023,97B
97R,00B3EC,2023,97R
97V,FFFFFF,2023,97V
981,E63027,2023,981
982,91273E,2023,982
983,2581C4,2023,983
984,95C11F,2023,984
985,F2B420,2023,985
986,EA5B0C,2023,986
987,FFFFFF,2023,987
988,F18700,2023,988
989,A84693,2023,989
995,F18700,2023,995
996,D51130,2023,996
997,329248,2023,997
998,7263A9,2023,998
AIR,F39200,2023,AIR
CTY,E30613,2023,CTY
INN,56AF31,2023,INN
N10,EE2E27,2023,N10
NX1,1F3685,2023,NX1
NX2,007C34,2023,NX2
OUT,F39200,2023,OUT
TMK,0086C7,2023,TMK
AT Local,89AD3F,2023,AT Local
Central,00AEEF,2023,Central
West,97C93D,2023,West
South,EE2E27,2023,South
Waiheke,9BD5E1,2023,Waiheke
East,FDB913,2023,East
North,0076C0,2023,North
